grupo,category_name,avg_rating,num_productos
"Top 10%",cable_straps_6577540011,4.7,1
"Top 10%",cable_ties_507844,4.3,1
Resto,cable_ties_507844,4.7,1
"Top 10%",camera_privacy_covers_21103668011,4.1,1
"Top 10%",car_electronics_12954881,4.5,1
"Top 10%",cleaning_equipment_172426,4.7,1
Resto,cleaning_equipment_172426,4.5,3
"Top 10%",cord_reels_495306,4.5,1
"Top 10%",flash_accessories_3346401,4.1,1
"Top 10%",gaming_accessories_21209102011,4,1
Resto,gaming_accessories_21209102011,4.65,2
"Top 10%",gps_system_accessories_559942,4.7,1
"Top 10%","headphones,_earbuds_accessories_24046923011",4.7,1
"Top 10%",headsets_229193,4.6,1
"Top 10%",laminating_supplies_300341,4.6,1
"Top 10%",lighting_studio_7161086011,4.6,1
"Top 10%",microphones_accessories_11974521,4.6,1
Resto,microphones_accessories_11974521,4.6,1
"Top 10%",power_protection_2223901011,5,1
"Top 10%",radar_detectors_172529,4.3,1
"Top 10%",single_ear_bluetooth_headsets_18021376011,4.2,1
Resto,single_ear_bluetooth_headsets_18021376011,4.4,1
"Top 10%",telephone_accessories_172607,4.1,1
"Top 10%",virtual_reality_(vr)_headsets_14775002011,4.6,1
Resto,virtual_reality_(vr)_headsets_14775002011,4.733333333333333,3
