brand,category_name,popularidad_media,rating_medio,productos_top_10
RUGLAMZHIP,cable_straps_6577540011,337,4.7,1
HMROPE,cable_ties_507844,9986,4.3,1
JJUNW,camera_privacy_covers_21103668011,28,4.1,1
Ruikarhop,car_electronics_12954881,222,4.5,1
UES,cleaning_equipment_172426,3902,4.7,1
Fuse,cord_reels_495306,1471,4.5,1
PIXEL,flash_accessories_3346401,776,4.1,1
EasySMX,gaming_accessories_21209102011,1808,4,1
echinff,gps_system_accessories_559942,166,4.7,1
Apple,"headphones,_earbuds_accessories_24046923011",27242,4.7,1
EARTEC,headsets_229193,242,4.6,1
Uinkit,laminating_supplies_300341,889,4.6,1
GREATRIL,lighting_studio_7161086011,8259,4.6,1
FIFINE,microphones_accessories_11974521,12953,4.6,1
ZEZEFUFU,power_protection_2223901011,0,5,1
QDiShi,radar_detectors_172529,511,4.3,1
Poly,single_ear_bluetooth_headsets_18021376011,22980,4.2,1
Yealink,telephone_accessories_172607,147,4.1,1
aiMaKE,virtual_reality_(vr)_headsets_14775002011,25,4.6,1
XINGO,cable_ties_507844,2889,4.7,0
walrfid,cleaning_equipment_172426,1006,4.5,0
FocusFoto,cleaning_equipment_172426,434,4.6,0
Lanrxs,cleaning_equipment_172426,11,4.4,0
abxylute,gaming_accessories_21209102011,418,4.5,0
Aenllosi,gaming_accessories_21209102011,261,4.8,0
HollyView,microphones_accessories_11974521,1125,4.6,0
Yealink,single_ear_bluetooth_headsets_18021376011,89,4.4,0
"Amazon Renewed",virtual_reality_(vr)_headsets_14775002011,13,4.4,0
Saysurey,virtual_reality_(vr)_headsets_14775002011,2,5,0
Generic,virtual_reality_(vr)_headsets_14775002011,0,4.8,0
