category_name,gama_precio,grupo,descuento_medio,precio_medio,num_productos
cable_straps_6577540011,Baja,"Top 10%",0,6.28,1
cable_ties_507844,Baja,"Top 10%",0,7.99,1
cable_ties_507844,Baja,Resto,0,8.99,1
camera_privacy_covers_21103668011,Baja,"Top 10%",0,5.79,1
car_electronics_12954881,Baja,"Top 10%",0,59.99,1
cleaning_equipment_172426,Baja,"Top 10%",0,19,1
cleaning_equipment_172426,Baja,Resto,0,10.596666666666666,3
cord_reels_495306,Baja,"Top 10%",0,14.99,1
flash_accessories_3346401,Baja,"Top 10%",0,21.99,1
gaming_accessories_21209102011,Baja,"Top 10%",0,53.99,1
gaming_accessories_21209102011,Baja,Resto,0,47.989999999999995,2
gps_system_accessories_559942,Baja,"Top 10%",0,9.99,1
"headphones,_earbuds_accessories_24046923011",Media,"Top 10%",0,229.99,1
headsets_229193,Baja,"Top 10%",0,22,1
laminating_supplies_300341,Baja,"Top 10%",0,6.39,1
lighting_studio_7161086011,Baja,"Top 10%",0,32.99,1
microphones_accessories_11974521,Baja,"Top 10%",0,32.99,1
microphones_accessories_11974521,Media,Resto,0,139,1
power_protection_2223901011,Baja,"Top 10%",0,10.99,1
radar_detectors_172529,Baja,"Top 10%",0,5.98,1
single_ear_bluetooth_headsets_18021376011,Baja,"Top 10%",0,70,1
single_ear_bluetooth_headsets_18021376011,Media,Resto,0,107.9,1
telephone_accessories_172607,Media,"Top 10%",0,179,1
virtual_reality_(vr)_headsets_14775002011,Baja,"Top 10%",0,23.99,1
virtual_reality_(vr)_headsets_14775002011,Baja,Resto,0,17.316666666666666,3
