id,title,brand,price,price_text,rating,review_count,availability,category_name,category_id,subcategory
B0C9Y4SSZT,"Virtual Reality Headset for Phone with Controller, 3D VR Glasses Adjustable VR Virtual Reality Goggles, Compatible 4.7-6.5 inch for iPhone & Android, for Movies Games（Black）",AIMAKE,23.99,$23.99,4.6,25,In Stock,virtual_reality_(vr)_headsets_14775002011,14775002011,mandos
B0006NAS7G,"22 in 1 Precision Cleaning Kit – Professional Electronic Device Cleaning Tools for Phone, airPods Headset, Keyboards, Cameras, Laptop & More",LANRXS,9.9,$9.90,4.4,11,In Stock,cleaning_equipment_172426,172426,ordenadores
B07PPDR5NT,"Hollyland Lark M2S Combo (Camera RX+USB-C RX+ Lightning Cable) Wireless Microphone for iPhone/Camera/Android/PC, Titanium Clip, Noise Cancelling, 30H Use, Vlog, Interview, Content Creation",HOLLYVIEW,139.0,$139.00,4.6,1125,In Stock,microphones_accessories_11974521,11974521,ordenadores
B0FJFGLX5V,"Oculus Quest 2 Advanced All-in-One Virtual Reality Gmaing VR Headset 128GB Set, White (Renewed)",AMAZON RENEWED,9.97,$9.97,4.4,13,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,virtual_reality_(vr)_headsets_14775002011,14775002011,cascos
B00K6C73ES,"Haoge DSLR & Mirrorless Camera Lens Cleaner - Electrostatic Brush for Vinyl Records, LP Scans, SLR & Computer Screens - Super Soft Goat Hair",HAOGE,9.99,$9.99,4.5,112,In Stock,cleaning_equipment_172426,172426,ordenadores
B0DWFL71WQ,"Uinkit Self-Adhesive Laminating Sheets, 4Mil 10 PCS 8.7 x 12.2 Inches Clear Self Sealing Laminating Sheets, Suitable for 8.5x11 inches Letter Size, No Machine Needed",UINKIT,6.39,$6.39,4.6,889,In Stock,laminating_supplies_300341,300341,ordenadores
B0DT9VWL29,"XINGO 16 Inch Black Large Zip Ties Heavy Duty 100 PCS, 200 LBS Ultra Strong Plastic Wire Ties, Large Cable Ties Extra Long Tie Wraps, Indoor and Outdoor UV Resistant",XINGO,8.99,$8.99,4.7,2889,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,cable_ties_507844,507844,ordenadores
B0D7W7893G,"25 Pcs Silicone Cable Ties, Reusable Cable Straps Wire Organizer, Cable Management Cord Organizer for Fastening Earphone Phone Charger Home Office Desk Kitchen Appliances Cable Cords Wires",RUGLAMZHIP,6.28,$6.28,4.7,337,In Stock,cable_straps_6577540011,6577540011,ordenadores
B0DY1MY3WD,"50 Pcs Webcam Cover Slide, 0.023 Inch Ultra-Thin Universal Laptop Camera Cover Slide Webcam Cover for Laptop, Computer(Black)",JJUNW,5.79,$5.79,4.1,28,In Stock,camera_privacy_covers_21103668011,21103668011,ordenadores
B00DA38C3G,Pixel e-TTL Flash Hot Shoe Adapter with Extra PC Sync Port for Canon DSLRs and Flashguns,PIXEL,21.99,$21.99,4.1,776,In Stock,flash_accessories_3346401,3346401,ordenadores
B0F2122TRK,QDiShi 10 Pcs Radar Detectors Suction Cups for Clear Cobra Escort and Beltronics Radar Detector Mount,QDISHI,5.98,$5.98,4.3,511,In Stock,radar_detectors_172529,172529,ordenadores
