Subcategoría,Gama,N_Total,N_Top10,N_Resto,Rating_Top10,Rating_Resto,Diferencia,Reviews_Top10,Reviews_Resto
Cascos,BAJA,26,3,23,4.433,4.322,0.112,4456,880
Cascos,MEDIA,10,1,9,4.6,4.567,0.033,3464,1378
Mandos,MEDIA,11,4,7,4.7,4.643,0.057,2368,159
Monitores,BAJA,25,2,23,4.65,4.626,0.024,5022,1300
Monitores,MEDIA,11,1,10,4.6,4.57,0.03,6520,1059
Monitores,ALTA,4,1,3,4.6,4.5,0.1,7383,689
PC,BAJA,20,3,17,4.6,4.629,-0.029,1416,273
PC,MEDIA,7,1,6,4.6,4.583,0.017,1416,336
Ratones,BAJA,26,4,22,4.65,4.514,0.136,6869,1399
Teclados,BAJA,26,4,22,4.6,4.427,0.173,8345,1658
