source,product_name,brand,category,subcategory,price,price_original,discount_pct,rating,review_count,popularity,seller,promo_tag,product_url,sku,url_mal_formateada,duplicado_url,p65,p90,price_tier,rank_popularity,top10_threshold,top_10_popularity,q90_review_count
pccomponentes,Razer Kraken X Lite Auriculares Gaming 7.1 Multiplataforma,Razer,Cascos,Cascos,3499.0,,30.0,4.3,5465.0,5465.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/razer-kraken-x-lite-auriculares-gaming-71-multiplataforma,232005.0,False,False,5849.000000000002,10904.5,baja,1,4,True,2803.400000000001
pccomponentes,Auriculares Logitech G321 LIGHTSPEED inalÃ¡mbricos Bluetooth para gaming PC/PS4/PS5/Switch Negros,Logitech,Cascos,Cascos,5299.0,,24.0,4.5,4400.0,4400.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-logitech-g321-lightspeed-inalambricos-bluetooth-para-gaming-pc-ps4-ps5-switch-negros,10986694.0,False,False,5849.000000000002,10904.5,baja,2,4,True,2803.400000000001
pccomponentes,Logitech G432 Auriculares Gaming 7.1,Logitech,Cascos,Cascos,4599.0,,48.0,4.5,3503.0,3503.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/logitech-g432-auriculares-gaming-71,201439.0,False,False,5849.000000000002,10904.5,baja,3,4,True,2803.400000000001
pccomponentes,HyperX Cloud III Auriculares Gaming Multiplataforma Rojo/Negros,HyperX,Cascos,Cascos,689.0,,31.0,4.7,2730.0,2730.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/hyperx-cloud-iii-auriculares-gaming-multiplataforma-rojo-negros,10744318.0,False,False,5849.000000000002,10904.5,baja,6,4,False,2803.400000000001
pccomponentes,Tempest GHS PRO 20 Monarch Auriculares Gaming RGB Wireless PC/PS4/PS5/Switch,Tempest,Cascos,Cascos,3499.0,,30.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ghs-pro-20-monarch-auriculares-gaming-rgb-wireless-pc-ps4-ps5-switch,10826385.0,False,False,5849.000000000002,10904.5,baja,9,4,False,2803.400000000001
pccomponentes,Tempest Ethereal Black Edition Auriculares Gaming Wireless Negro,Tempest,Cascos,Cascos,999.0,,50.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ethereal-black-edition-auriculares-gaming-wireless-negro,10853867.0,False,False,5849.000000000002,10904.5,baja,10,4,False,2803.400000000001
pccomponentes,Tempest GHS400 Inquisitor Auriculares Gaming RGB Wireless PC,Tempest,Cascos,Cascos,2999.0,,33.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ghs400-inquisitor-auriculares-gaming-rgb-wireless-pc,10817488.0,False,False,5849.000000000002,10904.5,baja,11,4,False,2803.400000000001
pccomponentes,Cool Vista Auriculares Gaming Stereo con Adaptador Audio e IluminaciÃ³n Multiplataforma,Cool,Cascos,Cascos,2499.0,,0.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-vista-auriculares-gaming-stereo-con-adaptador-audio-e-iluminacion-multiplataforma,10844114.0,False,False,5849.000000000002,10904.5,baja,12,4,False,2803.400000000001
pccomponentes,Krom Kopa Pro Auriculares Gaming Blancos,Krom,Cascos,Cascos,1898.0,,0.0,4.3,1703.0,1703.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/krom-kopa-pro-auriculares-gaming-blancos,10867119.0,False,False,5849.000000000002,10904.5,baja,13,4,False,2803.400000000001
pccomponentes,Razer BlackShark V2 X Auriculares Gaming 7.1 Blancos,Razer,Cascos,Cascos,4999.0,,37.0,4.6,1194.0,1194.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/razer-blackshark-v2-x-auriculares-gaming-71-blancos,10359433.0,False,False,5849.000000000002,10904.5,baja,17,4,False,2803.400000000001
pccomponentes,Auriculares gaming Razer BlackShark V2 X Playstation con cable y cancelaciÃ³n de ruido blancos,Razer,Cascos,Cascos,4499.0,,25.0,4.6,1194.0,1194.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-gaming-razer-blackshark-v2-x-playstation-con-cable-y-cancelacion-de-ruido-blancos,10990337.0,False,False,5849.000000000002,10904.5,baja,18,4,False,2803.400000000001
pccomponentes,Forgeon Captain RGB Auriculares con MicrÃ³fono InalÃ¡mbricos Gaming Negros,Forgeon,Cascos,Cascos,5499.0,,31.0,4.5,708.0,708.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/forgeon-captain-rgb-auriculares-con-microfono-inalambricos-gaming-negros,10792513.0,False,False,5849.000000000002,10904.5,baja,20,4,False,2803.400000000001
pccomponentes,Forgeon Captain RGB Auriculares con MicrÃ³fono InalÃ¡mbricos Gaming Blancos,Forgeon,Cascos,Cascos,5499.0,,31.0,4.5,708.0,708.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/forgeon-captain-rgb-auriculares-con-microfono-inalambricos-gaming-blancos,10792512.0,False,False,5849.000000000002,10904.5,baja,21,4,False,2803.400000000001
