subcategory,price_tier,top_10_popularity,n_products,avg_rating,median_rating,avg_review_count,median_review_count,avg_price,min_review_count,max_review_count
Cascos,alta,False,4,4.725,4.699999999999999,455.75,190.5,17724.0,32.0,1410.0
Cascos,baja,False,23,4.321739130434782,4.3,880.0434782608696,306.0,2805.9565217391305,1.0,2730.0
Cascos,baja,True,3,4.433333333333334,4.5,4456.0,4400.0,4465.666666666667,3503.0,5465.0
Cascos,media,False,9,4.566666666666666,4.6,1378.2222222222222,1393.0,8464.666666666666,45.0,2730.0
Cascos,media,True,1,4.6,4.6,3464.0,3464.0,9499.0,3464.0,3464.0
Mandos,alta,False,5,4.680000000000001,4.7,210.0,5.0,10159.0,5.0,999.0
Mandos,baja,False,24,4.520833333333333,4.6,275.25,99.0,2820.25,1.0,1002.0
Mandos,media,False,7,4.642857142857143,4.7,159.0,14.0,6984.714285714285,1.0,1002.0
Mandos,media,True,4,4.7,4.7,2368.5,2824.0,6999.0,1002.0,2824.0
Monitores,alta,False,3,4.5,4.4,689.3333333333334,945.0,15832.333333333334,178.0,945.0
Monitores,alta,True,1,4.6,4.6,7383.0,7383.0,13999.0,7383.0,7383.0
Monitores,baja,False,23,4.626086956521739,4.6,1300.7391304347825,904.0,594.6086956521739,10.0,3152.0
Monitores,baja,True,2,4.65,4.65,5022.0,5022.0,541.5,3524.0,6520.0
Monitores,media,False,10,4.569999999999999,4.6,1059.2,939.0,8649.0,24.0,2736.0
Monitores,media,True,1,4.6,4.6,6520.0,6520.0,7999.0,6520.0,6520.0
PC,alta,False,4,4.7,4.7,107.25,108.0,2394.0,28.0,185.0
PC,baja,False,17,4.629411764705883,4.6,273.3529411764706,195.0,1195.4705882352941,1.0,707.0
PC,baja,True,3,4.6,4.6,1416.0,1416.0,1149.0,1416.0,1416.0
PC,media,False,6,4.583333333333333,4.6,336.5,246.0,1514.0,185.0,548.0
PC,media,True,1,4.6,4.6,1416.0,1416.0,1499.0,1416.0,1416.0
Ratones,alta,False,4,4.8,4.75,544.25,359.0,13749.0,3.0,1456.0
Ratones,baja,False,22,4.513636363636364,4.5,1399.2272727272727,238.0,1939.0454545454545,1.0,5597.0
Ratones,baja,True,4,4.65,4.7,6869.0,7174.5,2648.0,5597.0,7530.0
Ratones,media,False,10,4.45,4.5,675.2,242.0,5546.4,8.0,2179.0
Teclados,alta,False,5,4.779999999999999,4.8,659.8,415.0,9797.0,41.0,1214.0
Teclados,baja,False,22,4.427272727272727,4.55,1658.5454545454545,262.5,2847.1363636363635,2.0,8345.0
Teclados,baja,True,4,4.6,4.6,8345.0,8345.0,2324.5,8345.0,8345.0
Teclados,media,False,9,4.6,4.6,248.11111111111111,259.0,6653.222222222223,31.0,507.0
