brand,n_productos,n_top10,pct_top10,rating_promedio,rating_mediana,popularidad_promedio,popularidad_mediana
MSI,16,5,31.25,4.6499999999999995,4.6,1784.0625,1513.0
AOC,11,3,27.27272727272727,4.590909090909091,4.6,2400.4545454545455,863.0
Logitech,22,6,27.27272727272727,4.6454545454545455,4.6,1880.909090909091,575.0
Sony,11,3,27.27272727272727,4.681818181818182,4.7,820.6363636363636,36.0
Tempest,20,5,25.0,4.41,4.5,5030.85,5597.0
Microsoft,9,1,11.11111111111111,4.666666666666667,4.7,514.4444444444445,313.0
Razer,18,1,5.555555555555555,4.605555555555556,4.6,1301.388888888889,1214.0
Acer,6,0,0.0,4.683333333333334,4.65,714.6666666666666,178.0
HP,4,0,0.0,4.575,4.5,350.0,345.0
Gamesir,3,0,0.0,4.533333333333333,4.6,4.666666666666667,5.0
Forgeon,6,0,0.0,4.5,4.5,608.5,607.0
Cool,12,0,0.0,4.083333333333333,4.15,237.0,6.0
Asus,3,0,0.0,4.733333333333333,4.6,132.66666666666666,38.0
Alurin,3,0,0.0,4.5,4.5,939.0,939.0
LG,3,0,0.0,4.6,4.6,1362.0,904.0
HyperX,4,0,0.0,4.7,4.7,2730.0,2730.0
Lenovo,5,0,0.0,4.7,4.7,148.2,185.0
Indeca,3,0,0.0,4.9,4.9,5.0,5.0
Krom,12,0,0.0,4.258333333333334,4.3,371.5833333333333,229.0
Nacon,3,0,0.0,4.3999999999999995,4.3,616.0,898.0
PcCom,19,0,0.0,4.584210526315789,4.6,527.3684210526316,548.0
Ozone,3,0,0.0,4.466666666666667,4.5,292.0,266.0
Newskill,17,0,0.0,4.529411764705882,4.7,265.29411764705884,130.0
Steelseries,5,0,0.0,4.5,4.5,502.8,28.0
