subcategory,price_tier,brand,n_products,avg_review_count,avg_rating,pct_top_10,median_price,avg_price
Cascos,media,Forgeon,3,39.0,,100.0,54990.0,63323.333333333336
Cascos,media,HyperX,3,39.0,,100.0,99990.0,91313.33333333333
Cascos,media,Logitech,3,39.0,,100.0,74990.0,74323.33333333333
Cascos,media,Newskill,1,39.0,,100.0,79950.0,79950.0
Cascos,media,Razer,5,39.0,,100.0,89990.0,79590.0
Cascos,media,Steelseries,1,39.0,,100.0,84990.0,84990.0
Mandos,media,Gamesir,1,780.0,,100.0,56990.0,56990.0
Mandos,media,Microsoft,8,780.0,,100.0,58490.0,57990.0
Mandos,media,Sony,7,780.0,,100.0,74990.0,74132.85714285714
Monitores,media,AOC,9,943.0,,100.0,36990.0,47545.555555555555
Monitores,media,Alurin,3,943.0,,100.0,74990.0,83323.33333333333
Monitores,media,PcCom,2,943.0,,100.0,94990.0,94990.0
Monitores,media,Philips,2,943.0,,100.0,92490.0,92490.0
PC,media,Asus,1,4.0,,0.0,12990.0,12990.0
PC,media,HP,1,4.0,,0.0,13490.0,13490.0
PC,media,Lenovo,2,4.0,,0.0,13990.0,13990.0
PC,media,MSI,3,4.0,,0.0,14990.0,15990.0
PC,media,PcCom,10,612.0,,100.0,14690.0,14320.0
Ratones,media,Forgeon,1,5591.0,,100.0,39990.0,39990.0
Ratones,media,Keychron,1,5591.0,,100.0,44990.0,44990.0
Ratones,media,Logitech,1,5591.0,,100.0,45850.0,45850.0
Ratones,media,Newskill,6,5591.0,,100.0,49970.0,56613.333333333336
Ratones,media,Razer,4,5591.0,,100.0,54990.0,52490.0
Ratones,media,Steelseries,3,5591.0,,100.0,39990.0,39976.666666666664
Teclados,media,Cool,1,414.0,,100.0,47990.0,47990.0
Teclados,media,Corsair,2,414.0,,100.0,71970.0,71970.0
Teclados,media,Forgeon,1,414.0,,100.0,49990.0,49990.0
Teclados,media,Krom,1,414.0,,100.0,44990.0,44990.0
Teclados,media,Logitech,4,414.0,,100.0,54990.0,56240.0
Teclados,media,Newskill,4,414.0,,100.0,64970.0,64970.0
Teclados,media,Ozone,1,414.0,,100.0,45990.0,45990.0
Teclados,media,Razer,1,414.0,,100.0,69990.0,69990.0
