subcategory,price_tier,brand,n_products,avg_review_count,avg_rating,pct_top_10,median_price,avg_price
Cascos,alta,Logitech,4,39.0,,100.0,202490.0,186240.0
Cascos,baja,Apple,1,39.0,,100.0,5790.0,5790.0
Cascos,baja,Cool,5,39.0,,100.0,22940.0,25780.0
Cascos,baja,HyperX,1,39.0,,100.0,6890.0,6890.0
Cascos,baja,Krom,2,39.0,,100.0,16985.0,16985.0
Cascos,baja,Logitech,1,39.0,,100.0,45990.0,45990.0
Cascos,baja,Newskill,1,39.0,,100.0,23990.0,23990.0
Cascos,baja,Nilait,1,39.0,,100.0,39990.0,39990.0
Cascos,baja,Razer,2,39.0,,100.0,39990.0,39990.0
Cascos,baja,Tempest,6,39.0,,100.0,27490.0,27490.0
Cascos,media,Forgeon,3,39.0,,100.0,54990.0,63323.333333333336
Cascos,media,HyperX,3,39.0,,100.0,99990.0,91313.33333333333
Cascos,media,Logitech,3,39.0,,100.0,74990.0,74323.33333333333
Cascos,media,Newskill,1,39.0,,100.0,79950.0,79950.0
Cascos,media,Razer,5,39.0,,100.0,89990.0,79590.0
Cascos,media,Steelseries,1,39.0,,100.0,84990.0,84990.0
Mandos,alta,Microsoft,1,780.0,,100.0,179990.0,179990.0
Mandos,alta,Nintendo,1,780.0,,100.0,87990.0,87990.0
Mandos,alta,Sony,3,780.0,,100.0,79990.0,79990.0
Mandos,baja,8BitDo,1,780.0,,100.0,34990.0,34990.0
Mandos,baja,Gamesir,2,780.0,,100.0,25990.0,25990.0
Mandos,baja,Indeca,3,780.0,,100.0,5990.0,5990.0
Mandos,baja,Krom,4,780.0,,100.0,18990.0,17390.0
Mandos,baja,Logitech,1,780.0,,100.0,23990.0,23990.0
Mandos,baja,MSI,1,780.0,,100.0,21990.0,21990.0
Mandos,baja,Nacon,3,780.0,,100.0,35990.0,35656.666666666664
Mandos,baja,Nintendo,1,780.0,,100.0,39990.0,39990.0
Mandos,baja,PowerA,2,780.0,,100.0,27490.0,27490.0
Mandos,baja,Sony,1,780.0,,100.0,21690.0,21690.0
Mandos,media,Gamesir,1,780.0,,100.0,56990.0,56990.0
Mandos,media,Microsoft,8,780.0,,100.0,58490.0,57990.0
Mandos,media,Sony,7,780.0,,100.0,74990.0,74132.85714285714
Monitores,alta,AOC,1,943.0,,100.0,139990.0,139990.0
Monitores,alta,Acer,1,943.0,,100.0,129990.0,129990.0
Monitores,alta,PcCom,2,943.0,,100.0,172490.0,172490.0
Monitores,baja,AOC,1,943.0,,100.0,9990.0,9990.0
Monitores,baja,Acer,3,943.0,,100.0,890.0,953.3333333333334
Monitores,baja,Asus,1,943.0,,100.0,4590.0,4590.0
Monitores,baja,Gigabyte,1,943.0,,100.0,1390.0,1390.0
Monitores,baja,LG,3,943.0,,100.0,990.0,1223.3333333333333
Monitores,baja,MSI,11,943.0,,100.0,1390.0,1576.3636363636363
Monitores,media,AOC,9,943.0,,100.0,36990.0,47545.555555555555
Monitores,media,Alurin,3,943.0,,100.0,74990.0,83323.33333333333
Monitores,media,PcCom,2,943.0,,100.0,94990.0,94990.0
Monitores,media,Philips,2,943.0,,100.0,92490.0,92490.0
PC,alta,Lenovo,1,4.0,,0.0,22490.0,22490.0
PC,alta,PcCom,3,409.3333333333333,,66.66666666666666,32990.0,625423.3333333334
PC,baja,Acer,2,308.0,,50.0,9890.0,9890.0
PC,baja,HP,2,4.0,,0.0,10240.0,10240.0
PC,baja,Lenovo,1,4.0,,0.0,11390.0,11390.0
PC,baja,MSI,2,4.0,,0.0,10740.0,10740.0
PC,baja,PcCom,3,612.0,,100.0,10990.0,10990.0
PC,media,Asus,1,4.0,,0.0,12990.0,12990.0
PC,media,HP,1,4.0,,0.0,13490.0,13490.0
PC,media,Lenovo,2,4.0,,0.0,13990.0,13990.0
PC,media,MSI,3,4.0,,0.0,14990.0,15990.0
PC,media,PcCom,10,612.0,,100.0,14690.0,14320.0
Ratones,alta,Logitech,2,5591.0,,100.0,139990.0,139990.0
Ratones,alta,Razer,2,5591.0,,100.0,134990.0,134990.0
Ratones,baja,Cool,2,5591.0,,100.0,11895.0,11895.0
Ratones,baja,Forgeon,1,5591.0,,100.0,300.0,300.0
Ratones,baja,Krom,1,5591.0,,100.0,17990.0,17990.0
Ratones,baja,Logitech,6,5591.0,,100.0,17220.0,17066.666666666668
Ratones,baja,Newskill,2,5591.0,,100.0,24950.0,24950.0
Ratones,baja,Razer,2,5591.0,,100.0,19990.0,19990.0
Ratones,baja,Steelseries,1,5591.0,,100.0,300.0,300.0
Ratones,baja,Tempest,5,5591.0,,100.0,6990.0,12590.0
Ratones,media,Forgeon,1,5591.0,,100.0,39990.0,39990.0
Ratones,media,Keychron,1,5591.0,,100.0,44990.0,44990.0
Ratones,media,Logitech,1,5591.0,,100.0,45850.0,45850.0
Ratones,media,Newskill,6,5591.0,,100.0,49970.0,56613.333333333336
Ratones,media,Razer,4,5591.0,,100.0,54990.0,52490.0
Ratones,media,Steelseries,3,5591.0,,100.0,39990.0,39976.666666666664
Teclados,alta,Newskill,2,414.0,,100.0,79940.0,79940.0
Teclados,alta,Razer,3,414.0,,100.0,99990.0,109990.0
Teclados,baja,Cool,2,414.0,,100.0,18610.0,18610.0
Teclados,baja,Keychron,1,414.0,,100.0,18670.0,18670.0
Teclados,baja,Krom,4,414.0,,100.0,29990.0,26605.0
Teclados,baja,Newskill,1,414.0,,100.0,890.0,890.0
Teclados,baja,Ozone,2,414.0,,100.0,29990.0,29990.0
Teclados,baja,Razer,1,414.0,,100.0,39990.0,39990.0
Teclados,baja,Tempest,9,414.0,,100.0,16990.0,18582.222222222223
Teclados,media,Cool,1,414.0,,100.0,47990.0,47990.0
Teclados,media,Corsair,2,414.0,,100.0,71970.0,71970.0
Teclados,media,Forgeon,1,414.0,,100.0,49990.0,49990.0
Teclados,media,Krom,1,414.0,,100.0,44990.0,44990.0
Teclados,media,Logitech,4,414.0,,100.0,54990.0,56240.0
Teclados,media,Newskill,4,414.0,,100.0,64970.0,64970.0
Teclados,media,Ozone,1,414.0,,100.0,45990.0,45990.0
