subcategory,brand,n_products,avg_review_count,avg_rating,pct_top_10
Cascos,Apple,1,39.0,,100.0
Cascos,Cool,5,39.0,,100.0
Cascos,Forgeon,3,39.0,,100.0
Cascos,HyperX,4,39.0,,100.0
Cascos,Krom,2,39.0,,100.0
Cascos,Logitech,8,39.0,,100.0
Cascos,Newskill,2,39.0,,100.0
Cascos,Nilait,1,39.0,,100.0
Cascos,Razer,7,39.0,,100.0
Cascos,Steelseries,1,39.0,,100.0
Cascos,Tempest,6,39.0,,100.0
Mandos,8BitDo,1,780.0,,100.0
Mandos,Gamesir,3,780.0,,100.0
Mandos,Indeca,3,780.0,,100.0
Mandos,Krom,4,780.0,,100.0
Mandos,Logitech,1,780.0,,100.0
Mandos,MSI,1,780.0,,100.0
Mandos,Microsoft,9,780.0,,100.0
Mandos,Nacon,3,780.0,,100.0
Mandos,Nintendo,2,780.0,,100.0
Mandos,PowerA,2,780.0,,100.0
Mandos,Sony,11,780.0,,100.0
Monitores,AOC,11,943.0,,100.0
Monitores,Acer,4,943.0,,100.0
Monitores,Alurin,3,943.0,,100.0
Monitores,Asus,1,943.0,,100.0
Monitores,Gigabyte,1,943.0,,100.0
Monitores,LG,3,943.0,,100.0
Monitores,MSI,11,943.0,,100.0
Monitores,PcCom,4,943.0,,100.0
Monitores,Philips,2,943.0,,100.0
PC,PcCom,16,574.0,,93.75
PC,Acer,2,308.0,,50.0
PC,Asus,1,4.0,,0.0
PC,HP,3,4.0,,0.0
PC,Lenovo,4,4.0,,0.0
PC,MSI,5,4.0,,0.0
Ratones,Cool,2,5591.0,,100.0
Ratones,Forgeon,2,5591.0,,100.0
Ratones,Keychron,1,5591.0,,100.0
Ratones,Krom,1,5591.0,,100.0
Ratones,Logitech,9,5591.0,,100.0
Ratones,Newskill,8,5591.0,,100.0
Ratones,Razer,8,5591.0,,100.0
Ratones,Steelseries,4,5591.0,,100.0
Ratones,Tempest,5,5591.0,,100.0
Teclados,Cool,3,414.0,,100.0
Teclados,Corsair,2,414.0,,100.0
Teclados,Forgeon,1,414.0,,100.0
Teclados,Keychron,1,414.0,,100.0
Teclados,Krom,5,414.0,,100.0
Teclados,Logitech,4,414.0,,100.0
Teclados,Newskill,7,414.0,,100.0
Teclados,Ozone,3,414.0,,100.0
Teclados,Razer,5,414.0,,100.0
Teclados,Tempest,9,414.0,,100.0
