subcategory,price_tier,top_10_popularity,n_products,avg_discount_pct,median_discount_pct,avg_review_count,avg_rating,avg_price
Cascos,alta,True,4,50.0,50.0,39.0,,186240.0
Cascos,baja,True,20,5.555555555555555,0.0,39.0,,26522.0
Cascos,media,True,16,0.0,0.0,39.0,,78110.625
Mandos,alta,True,5,60.0,80.0,780.0,,101590.0
Mandos,baja,True,19,0.0,0.0,780.0,,23374.21052631579
Mandos,media,True,16,31.11111111111111,50.0,780.0,,64990.0
Monitores,alta,True,4,0.0,0.0,943.0,,153740.0
Monitores,baja,True,20,90.0,90.0,943.0,,1992.0
Monitores,media,True,16,,,943.0,,65802.5
PC,alta,False,2,,,4.0,,921240.0
PC,alta,True,2,,,612.0,,28140.0
PC,baja,False,6,,,4.0,,10690.0
PC,baja,True,4,,,612.0,,10490.0
PC,media,False,7,,,4.0,,14632.857142857143
PC,media,True,10,,,612.0,,14320.0
Ratones,alta,True,4,0.0,0.0,5591.0,,137490.0
Ratones,baja,True,20,16.0,0.0,5591.0,,14880.5
Ratones,media,True,16,0.0,0.0,5591.0,,50025.0
Teclados,alta,True,5,,,414.0,,97970.0
Teclados,baja,True,20,13.333333333333334,0.0,414.0,,21520.5
Teclados,media,True,15,0.0,0.0,414.0,,59182.0
